Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-April-2016,739.85,743.25,734.00,737.10,739.204177897574123989,1484,201,1096979.00,496,33.42,9.25,-2.75
5-April-2016,733.10,747.85,733.00,740.00,740.679501698754246885,3532,284,2616080.00,725,20.53,14.85,6.90
4-April-2016,739.25,740.00,729.60,735.00,736.907679738562091503,1224,216,901975.00,431,35.21,10.40,-4.25
1-April-2016,725.00,745.00,725.00,734.25,737.730524252817246447,2041,311,1505708.00,842,41.25,20.00,9.25
31-March-2016,734.10,738.80,722.00,730.40,731.935537804198402377,5383,631,3940009.00,889,16.51,16.80,-3.70
30-March-2016,714.95,737.35,709.00,732.65,728.122894272420985079,12466,1010,9076780.00,3884,31.16,28.35,17.70
29-March-2016,717.00,717.00,702.60,707.95,710.788049303322615219,3732,354,2652661.00,3038,81.40,14.40,-9.05
28-March-2016,713.00,730.00,708.90,715.60,718.565740245857830037,11226,1164,8066619.00,4221,37.60,21.10,2.60
23-March-2016,710.15,715.30,703.15,713.65,710.345108005082592121,3935,300,2795208.00,1265,32.15,12.15,3.50
22-March-2016,712.00,723.00,703.80,713.10,713.521214211797171438,8697,813,6205494.00,4449,51.16,19.20,1.10
21-March-2016,710.05,717.85,705.00,709.90,711.983757062146892655,2832,296,2016338.00,920,32.49,12.85,-0.15
18-March-2016,727.00,727.00,707.00,710.05,713.791630340017436791,6882,554,4912314.00,1796,26.10,20.00,-16.95
17-March-2016,710.00,731.10,701.00,725.15,715.814564831261101243,8445,645,6045054.00,3628,42.96,30.10,15.15
16-March-2016,709.90,712.00,697.25,702.45,703.280419580419580419,1430,242,1005691.00,701,49.02,14.75,-7.45
15-March-2016,728.00,728.00,708.00,710.80,714.825733372059250653,3443,452,2461145.00,1516,44.03,20.00,-17.20
14-March-2016,740.00,749.90,730.00,736.10,738.678412132024977698,2242,272,1656117.00,997,44.47,19.90,-3.90
11-March-2016,744.65,748.00,731.00,734.75,737.492087415222305953,1327,175,978652.00,459,34.59,17.00,-9.90
10-March-2016,720.00,756.10,716.70,743.90,739.916031443544545021,8396,1006,6212335.00,1863,22.19,39.40,23.90
9-March-2016,709.05,716.00,705.00,713.00,712.997296685760560193,251913,204,179613288.00,251190,99.71,11.00,3.95
8-March-2016,708.00,715.00,707.00,708.50,709.947236180904522613,1990,179,1412795.00,1146,57.59,8.00,0.50
4-March-2016,713.00,713.00,705.00,706.80,708.879963486992240985,2191,273,1553156.00,1095,49.98,8.00,-6.20
3-March-2016,706.65,715.00,704.70,712.60,710.257309941520467836,1026,159,728724.00,453,44.15,10.30,5.95
2-March-2016,710.00,722.00,702.00,707.50,713.255348516218081435,1449,196,1033507.00,465,32.09,20.00,-2.50
1-March-2016,702.00,712.50,696.25,703.00,703.026700804681784930,202316,327,142233550.00,200790,99.25,16.25,1.00
